Пивоварня,Стиль,Плотность,Алкоголь,Горечь,Хмель,Начало выпуска,Рейтинг,Пиво,Солод,Производство,Подрядчик,Добавки,Ссылка
Big Village Brewery,IPA - New England / Hazy,,"6,8%",35 IBU,"                                                                            Sabro,                                                                             Citra,                                                                             Galaxy                                                                        ",17.04.2021,"4,13",Ode to the Sun,,,,                                                                            Pineapple                                                                        ,https://your.beer/beer/big-village-brewery-ode-to-the-sun
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",45 IBU,"                                                                            Mosaic,                                                                             Citra,                                                                             Sabro,                                                                             Cryo Pop                                                                        ",18.06.2021,"4,145",Electro Pop,,,,,https://your.beer/beer/big-village-brewery-electro-pop
Big Village Brewery,Sour - Fruited Berliner Weisse,,"5,0%",,,29.06.2021,"3,746",Blackberry Construct,,,,"                                                                            Bilberry,                                                                             Black Currant                                                                        ",https://your.beer/beer/big-village-brewery-blackberry-construct
Big Village Brewery,Sour - Fruited,,"3,5%",,,28.05.2021,"3,541",Bird-of-Paradise,,,,"                                                                            Strawberry,                                                                             Lime,                                                                             Basil                                                                        ",https://your.beer/beer/big-village-brewery-bird-of-paradise
Big Village Brewery,IPA - New England / Hazy,,"6,8%",35 IBU,"                                                                            Citra,                                                                             Galaxy,                                                                             Simcoe                                                                        ",05.02.2021,"4,044",Yellow Line,,,,,https://your.beer/beer/big-village-brewery-yellow-line
"Salden’s Brewery, Big Village Brewery",Wild Ale - Other,,"6,8%",,,18.02.2021,"3,739",Koelship,,,,,https://your.beer/beer/saldens-brewery-koelship
Big Village Brewery,Porter - Imperial / Double Coffee,,"6,8%",35 IBU,,19.02.2021,"4,158",Заблуждение BA Cognac,,,,"                                                                            Coffee,                                                                             Cocoa,                                                                             Vanilla                                                                        ",https://your.beer/beer/big-village-brewery-zabluzhdenie-ba-cognac
"Zagovor Brewery, Big Village Brewery",IPA - Triple New England / Hazy,"22,0%","6,8%",40 IBU,"                                                                            Strata,                                                                             Citra                                                                        ",18.02.2021,"4,206",Golden Age of Arcade Games,,,,                                                                            Lactose                                                                        ,https://your.beer/beer/zagovor-brewery-golden-age-of-arcade-games
Big Village Brewery,Stout - Imperial / Double Coffee,,"6,8%",30 IBU,,11.03.2021,"4,12",Daily Alternative,,,,"                                                                            Lactose,                                                                             Coffee                                                                        ",https://your.beer/beer/big-village-brewery-daily-alternative
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,                                                                            Mosaic                                                                        ,25.03.2021,"3,983",Street Culture,,,,,https://your.beer/beer/big-village-brewery-street-culture
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",40 IBU,"                                                                            Idaho 7,                                                                             Mosaic,                                                                             Citra                                                                        ",19.03.2021,"4,037",Prologue?,,,,,https://your.beer/beer/big-village-brewery-prologue
Big Village Brewery,Pale Ale - New England / Hazy,,"6,5%",30 IBU,"                                                                            Sabro,                                                                             Citra                                                                        ",25.03.2021,"3,983",Watercross,,,,,https://your.beer/beer/big-village-brewery-watercross
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",,"                                                                            Citra,                                                                             Mosaic,                                                                             Idaho 7                                                                        ",20.02.2021,"4,075",Don’t Stop Your Drift,,,,,https://your.beer/beer/big-village-brewery-dont-stop-your-drift
Big Village Brewery,IPA - Imperial / Double Milkshake,,"6,8%",30 IBU,"                                                                            Citra,                                                                             Galaxy,                                                                             Azacca                                                                        ",05.02.2021,"4,035",Don't Call Me Now (Mango),,,,,https://your.beer/beer/big-village-brewery-dont-call-me-now-mango
Big Village Brewery,IPA - Imperial / Double,,"6,8%",90 IBU,"                                                                            Mosaic,                                                                             Simcoe                                                                        ",12.02.2021,"3,956",Death Valley,,,,,https://your.beer/beer/big-village-brewery-death-valley
Big Village Brewery,Sour - Fruited Gose,,"6,0%",,,18.02.2021,"3,948",Dance Revolution,,,,"                                                                            Passion fruit,                                                                             Blackberry                                                                        ",https://your.beer/beer/big-village-brewery-dance-revolution
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,                                                                            Talus                                                                        ,17.04.2021,"4,126",Gravity Assist,,,,,https://your.beer/beer/big-village-brewery-gravity-assist
Big Village Brewery,Sour - Fruited,,"6,0%",,,04.03.2021,"3,794",Asymmetry,,,,"                                                                            Kiwi,                                                                             Pineapple                                                                        ",https://your.beer/beer/big-village-brewery-asymmetry
Big Village Brewery,IPA - Imperial / Double Milkshake,,"6,8%",30 IBU,"                                                                            Sabro,                                                                             Simcoe,                                                                             Mosaic                                                                        ",09.04.2021,"4,121",Don't Call Me Now (Calamansi),,,,                                                                            Calamansi                                                                        ,https://your.beer/beer/big-village-brewery-don-t-call-me-now-calamansi
Big Village Brewery,Sour - Fruited Gose,,"6,8%",,,15.04.2021,"4,049",Travel Dreams,,,,"                                                                            Mango,                                                                             Passion fruit,                                                                             Lychee                                                                        ",https://your.beer/beer/big-village-brewery-travel-dreams
Big Village Brewery,Stout - Imperial / Double Milk,,"6,8%",30 IBU,,17.04.2021,"3,96",Hellish Delight,,,,"                                                                            Lactose,                                                                             Coconut                                                                        ",https://your.beer/beer/big-village-brewery-hellish-delight
Big Village Brewery,Porter - Imperial / Double,,"6,8%",30 IBU,,03.04.2021,"4,043",The Night Of,,,,"                                                                            Plum,                                                                             Cocoa                                                                        ",https://your.beer/beer/big-village-brewery-the-night-of
Big Village Brewery,Barleywine - English,,"6,8%",40 IBU,,18.02.2021,"3,832",Wind Power,,,,,https://your.beer/beer/big-village-brewery-wind-power
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,"                                                                            Mosaic,                                                                             Sabro,                                                                             Simcoe                                                                        ",04.03.2021,"4,09",Industrial Realism,,,,,https://your.beer/beer/big-village-brewery-industrial-realism
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,"                                                                            Idaho 7,                                                                             Galaxy,                                                                             Citra                                                                        ",09.11.2020,"4,111",Fireplug,,,,,https://your.beer/beer/big-village-brewery-fireplug
Big Village Brewery,Stout - Imperial / Double Milk,,"6,8%",30 IBU,,28.01.2021,"4,168",Who Is John Doe?,,,,"                                                                            Cocoa,                                                                             Orange Peel,                                                                             Vanilla                                                                        ",https://your.beer/beer/big-village-brewery-who-is-john-doe
Big Village Brewery,Wild Ale - American,,"6,8%",,,24.12.2020,"3,937",BFS#11,,,,                                                                            Cornel                                                                        ,https://your.beer/beer/big-village-brewery-bfs-11
Big Village Brewery,IPA - New England / Hazy,,"6,8%",30 IBU,"                                                                            Simcoe,                                                                             Mosaic,                                                                             Talus                                                                        ",26.11.2020,"4,067",Fairway,,,,,https://your.beer/beer/big-village-brewery-fairway
Big Village Brewery,Farmhouse Ale - Saison,,"6,8%",,,04.12.2020,"3,717",Предвкушение (2020),,,,,https://your.beer/beer/big-village-brewery-predvkushenie-2020
Big Village Brewery,Pale Ale - American,,"5,5%",40 IBU,"                                                                            Centennial,                                                                             Mosaic                                                                        ",09.11.2020,"3,829",Water Tower,,,,,https://your.beer/beer/big-village-brewery-water-tower
Big Village Brewery,Sour - Fruited,,"6,3%",,,26.10.2020,"3,905",Fall Fair,,,,"                                                                            Sea buckthorn,                                                                             Mango                                                                        ",https://your.beer/beer/big-village-brewery-fall-fair
Big Village Brewery,Sour - Fruited Gose,,"6,0%",,,10.12.2020,"3,997",Acidoplication,,,,"                                                                            Lemon,                                                                             Feijoa                                                                        ",https://your.beer/beer/big-village-brewery-acidoplication
Big Village Brewery,Wild Ale - American,,"6,8%",,,24.12.2020,"3,966",Lost Fantasies BA,,,,                                                                            Raspberry                                                                        ,https://your.beer/beer/big-village-brewery-lost-fantasies-ba
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,                                                                            Galaxy                                                                        ,08.12.2020,"4,068",Endeavour,,,,,https://your.beer/beer/big-village-brewery-endeavour
Big Village Brewery,Sour - Fruited,,"6,0%",,,20.11.2020,"3,695",Конструктивный резонанс,,,,"                                                                            Black Currant,                                                                             Chokeberry                                                                        ",https://your.beer/beer/big-village-brewery-konstruktivnyj-rezonans
Big Village Brewery,Sour - Fruited,,"6,7%",,,14.01.2021,"3,95",Kumandarin,,,,"                                                                            Lactose,                                                                             Mandarin,                                                                             Cumquat                                                                        ",https://your.beer/beer/big-village-brewery-kumandarin
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",40 IBU,"                                                                            Galaxy,                                                                             Citra,                                                                             Sabro                                                                        ",16.12.2020,"4,258",Extended Mix,,,,,https://your.beer/beer/big-village-brewery-extended-mix
Big Village Brewery,Wheat Beer - Hefeweizen,,"5,7%",15 IBU,,16.12.2020,"3,834",BFS#Weizen,,,,,https://your.beer/beer/big-village-brewery-bfs-weizen
Big Village Brewery,IPA - Imperial / Double Milkshake,,"6,8%",,"                                                                            Citra,                                                                             Sabro,                                                                             Mosaic                                                                        ",16.12.2020,"4,099",Don't Call Me Now (Passion Fruit),,,,                                                                            Passion fruit                                                                        ,https://your.beer/beer/big-village-brewery-dont-call-me-now-passion-fruit
Big Village Brewery,Grape Ale - Other,,"6,8%",,,10.12.2020,"3,912",Who Are You? (2020),,,,,https://your.beer/beer/big-village-brewery-who-are-you-2020
Big Village Brewery,Farmhouse Ale - Saison,,"6,8%",22 IBU,,29.10.2020,"3,958",Левитация,,,,,https://your.beer/beer/big-village-brewery-levitaciya
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",40 IBU,"                                                                            Simcoe,                                                                             Sabro,                                                                             Citra                                                                        ",19.10.2020,"4,194",Drum Machine,,,,,https://your.beer/beer/big-village-brewery-drum-machine
Big Village Brewery,Stout - Imperial / Double Milk,,"6,8%",30 IBU,,12.11.2020,"4,037",Ek-Chuakh,,,,"                                                                            Lactose,                                                                             Orange Peel,                                                                             Cocoa                                                                        ",https://your.beer/beer/big-village-brewery-ek-chuakh
Big Village Brewery,Stout - Imperial / Double Milk,,"6,8%",30 IBU,,14.01.2021,"3,862",Baker's Dream,,,,"                                                                            Lactose,                                                                             Vanilla,                                                                             Cinnamon                                                                        ",https://your.beer/beer/big-village-brewery-beaker-s-dream
Big Village Brewery,IPA - New England / Hazy,,"6,8%",30 IBU,"                                                                            Simcoe,                                                                             Citra                                                                        ",29.08.2020,"4,003",Futurology,,,,,https://your.beer/beer/big-village-brewery-futurology
Big Village Brewery,IPA - New England / Hazy,,"6,8%",35 IBU,"                                                                            Simcoe,                                                                             El Dorado,                                                                             Ekuanot                                                                        ",17.07.2020,"3,954",Mediatron,,,,,https://your.beer/beer/big-village-brewery-mediatron
Big Village Brewery,Farmhouse Ale - Saison,,"6,8%",40 IBU,"                                                                            Galaxy,                                                                             Mosaic,                                                                             Simcoe                                                                        ",09.07.2020,"3,82",Exposition,,,,,https://your.beer/beer/big-village-brewery-exposition
Big Village Brewery,Sour - Fruited Gose,,"6,8%",,,19.06.2020,"4,17",Экстраверсия,,,,"                                                                            Black Currant,                                                                             Raspberry                                                                        ",https://your.beer/beer/big-village-brewery-ekstraversiya
Big Village Brewery,Sour - Fruited Gose,,"6,0%",,,07.08.2020,"3,97",Synthezium,,,,                                                                            Peach                                                                        ,https://your.beer/beer/big-village-brewery-synthezium
Big Village Brewery,Sour - Fruited Gose,,"6,3%",,,24.09.2020,"3,919",Red Conundrum,,,,                                                                            Raspberry                                                                        ,https://your.beer/beer/big-village-brewery-red-conundrum
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",40 IBU,"                                                                            Mosaic,                                                                             Galaxy,                                                                             Citra,                                                                             Simcoe                                                                        ",20.08.2020,"4,173",Стереограмма,,,,,https://your.beer/beer/big-village-brewery-stereogramma
Big Village Brewery,Pale Ale - New England / Hazy,,"6,0%",30 IBU,"                                                                            Citra,                                                                             Galaxy                                                                        ",23.07.2020,"3,955",Идентификация,,,,,https://your.beer/beer/big-village-brewery-identifikaciya
Big Village Brewery,Sour - Fruited,,"6,2%",,,18.08.2020,"3,981",Секвенция,,,,"                                                                            Blackberry,                                                                             Raspberry                                                                        ",https://your.beer/beer/big-village-brewery-sekvenciya
Big Village Brewery,Sour - Fruited Gose,,"6,8%",,,11.10.2020,"4,118",Hyperrealism,,,,"                                                                            Lingonberry,                                                                             Blueberry                                                                        ",https://your.beer/beer/big-village-brewery-hyperrealism
Big Village Brewery,Sour - Fruited,,"6,8%",,,10.09.2020,"3,914",Аллегория,,,,"                                                                            Cherry,                                                                             Strawberry                                                                        ",https://your.beer/beer/big-village-brewery-allegoriya
Big Village Brewery,Sour - Fruited,,"6,0%",,,09.07.2020,"3,882",Postmodern,,,,"                                                                            Cranberry,                                                                             Blackberry,                                                                             Blueberry                                                                        ",https://your.beer/beer/big-village-brewery-postmodern
Big Village Brewery,IPA - Sour,,"6,8%",,,28.08.2020,"4,013",#EXP8,,,,,https://your.beer/beer/big-village-brewery-exp8
Big Village Brewery,Stout - Milk / Sweet,,"6,8%",30 IBU,,07.08.2020,"4,054",Night Brunch,,,,"                                                                            Lactose,                                                                             Cocoa,                                                                             Coffee                                                                        ",https://your.beer/beer/big-village-brewery-night-brunch
Big Village Brewery,IPA - New England / Hazy,,"6,8%",40 IBU,"                                                                            Sabro,                                                                             Galaxy                                                                        ",10.06.2020,"3,956",Floodlight,,,,,https://your.beer/beer/big-village-brewery-floodlight
Big Village Brewery,IPA - New England / Hazy,,"6,6%",35 IBU,"                                                                            Azacca,                                                                             Citra                                                                        ",02.10.2020,"4,033",Урбанизация,,,,,https://your.beer/beer/big-village-brewery-urbanizaciya
Big Village Brewery,Stout - Imperial / Double,,"6,8%",35 IBU,,03.09.2020,"4,279",Эффект домино (BA Cognac),,,,"                                                                            Maple Syrup,                                                                             Cinnamon                                                                        ",https://your.beer/beer/big-village-brewery-effekt-domino-ba-cognac
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,"                                                                            Simcoe,                                                                             Galaxy,                                                                             Citra                                                                        ",31.07.2020,"4,117",Seaway,,,,,https://your.beer/beer/big-village-brewery-seaway
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,"                                                                            Galaxy,                                                                             El Dorado,                                                                             Idaho 7,                                                                             Simcoe                                                                        ",24.06.2020,"4,137",System of Sound,,,,,https://your.beer/beer/big-village-brewery-system-of-sound
Big Village Brewery,Belgian Strong Golden Ale,,"6,8%",20 IBU,,07.08.2020,"3,691",Ожидание,,,,,https://your.beer/beer/big-village-brewery-ozhidanie
Big Village Brewery,Pale Ale - New England / Hazy,,"6,0%",25 IBU,"                                                                            Simcoe,                                                                             Mosaic,                                                                             Citra                                                                        ",14.04.2020,"4,002",Distrust,,,,,https://your.beer/beer/big-village-brewery-distrust
Big Village Brewery,Sour - Fruited,,"6,8%",,,29.05.2020,"4,03",Дезинтеграция,,,,"                                                                            Sea buckthorn,                                                                             Orange                                                                        ",https://your.beer/beer/big-village-brewery-dezintegraciya
"Big Village Brewery, Brew Division, Lovecraft Weird Brewery",Barleywine - English,,"6,8%",35 IBU,,17.01.2020,"3,897",Mechanical Love,,,,,https://your.beer/beer/big-village-brewery-mechanical-love
Big Village Brewery,IPA - New England / Hazy,,"6,8%",40 IBU,"                                                                            Galaxy,                                                                             Citra                                                                        ",07.02.2020,"4,049",Периферия,,,,,https://your.beer/beer/big-village-brewery-periferiya
Big Village Brewery,Stout - Pastry,,"6,8%",25 IBU,,21.02.2020,"4,176",Телепортация,,,,"                                                                            Coconut,                                                                             Cocoa                                                                        ",https://your.beer/beer/big-village-brewery-teleportaciya
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,"                                                                            Galaxy,                                                                             El Dorado,                                                                             Mosaic                                                                        ",26.02.2020,"4,119",Yellow Fog,,,,,https://your.beer/beer/big-village-brewery-yellow-fog
Big Village Brewery,Sour - Fruited Gose,,"6,0%",,,29.04.2020,"3,937",RedBerry Construct,,,,"                                                                            Cherry,                                                                             Raspberry,                                                                             Red Currant                                                                        ",https://your.beer/beer/big-village-brewery-redberry-construct
Big Village Brewery,Wild Ale - American,,"6,8%",,,25.04.2020,"3,984",Lost Illusions,,,,                                                                            Apricot                                                                        ,https://your.beer/beer/big-village-brewery-lost-illusions
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",,"                                                                            Citra,                                                                             Mosaic,                                                                             Galaxy,                                                                             Simcoe                                                                        ",11.03.2020,"4,179",Energy Impulse,,,,,https://your.beer/beer/big-village-brewery-energy-impulse
Big Village Brewery,IPA - New England / Hazy,,"6,8%",40 IBU,"                                                                            Motueka,                                                                             Galaxy                                                                        ",26.03.2020,"4,001",Roller Disco,,,,,https://your.beer/beer/big-village-brewery-roller-disco
Big Village Brewery,Sour - Fruited,,"6,8%",,,06.03.2020,"4,133",Инверсия,,,,,https://your.beer/beer/big-village-brewery-inversiya
Big Village Brewery,Kölsch,,"5,5%",20 IBU,,12.02.2020,"3,766",ABC-Kölsch,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/big-village-brewery-abc-kolsch
Big Village Brewery,Stout - Imperial / Double Milk,,"6,8%",30 IBU,,27.05.2020,"4,238",Альтер эго,,,,"                                                                            Tonka Beans,                                                                             Vanilla                                                                        ",https://your.beer/beer/big-village-brewery-alter-ego
Big Village Brewery,IPA - Imperial / Double New England / Hazy,"21,5%","6,8%",40 IBU,"                                                                            Sabro,                                                                             Citra                                                                        ",07.05.2020,"4,143",Yellow Cream,,,,                                                                            Lactose                                                                        ,https://your.beer/beer/big-village-brewery-yellow-cream
Big Village Brewery,Sour - Fruited Gose,,"6,8%",,,28.01.2020,"3,88",Детерминация (Kiwi/Orange),,,,"                                                                            Kiwi,                                                                             Orange                                                                        ",https://your.beer/beer/big-village-brewery-determinaciya-kiwi-orange
Big Village Brewery,Sour - Fruited Gose,,"6,8%",,,28.01.2020,"3,879",Детерминация (Strawberry / Hibiscus / Pineapple),,,,"                                                                            Strawberry,                                                                             Hibiscus,                                                                             Pineapple                                                                        ",https://your.beer/beer/big-village-brewery-determinaciya-strawberry-hibiscus-pineapple
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",35 IBU,"                                                                            Galaxy,                                                                             Mosaic                                                                        ",17.01.2020,"4,074",Yellow Traffic,,,,,https://your.beer/beer/big-village-brewery-yellow-traffic
"Big Village Brewery, Wild Lab",Sour - Fruited,,"6,8%",,,08.04.2020,"3,883",Strawnana Swirl,,,,"                                                                            Lactose,                                                                             Strawberry,                                                                             Banana                                                                        ",https://your.beer/beer/big-village-brewery-strawnana-swirl
Big Village Brewery,Stout - Coffee,,"6,8%",,,19.03.2020,"4,11",Morning Alternative,,,,"                                                                            Lactose,                                                                             Vanilla,                                                                             Coffee                                                                        ",https://your.beer/beer/big-village-brewery-morning-alternative
Big Village Brewery,IPA - Milkshake,,"6,8%",30 IBU,"                                                                            Galaxy,                                                                             Simcoe,                                                                             Idaho 7                                                                        ",10.02.2020,"3,914",Don't Call Me Now,,,,,https://your.beer/beer/big-village-brewery-dont-call-me-now
"Salden’s Brewery, Big Village Brewery",Wild Ale - American,,"6,8%",,,12.11.2019,"4,068",Wild Ale Mixed Fermentation,,,,,https://your.beer/beer/saldens-brewery-wild-ale-mixed-fermentation
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",40 IBU,"                                                                            Simcoe,                                                                             Galaxy,                                                                             Mosaic                                                                        ",20.12.2019,"4,13",Illusion of Infinity,,,,,https://your.beer/beer/big-village-brewery-illusion-of-infinity
Big Village Brewery,Grape Ale - Italian,,"6,8%",,,10.12.2019,"4,008",Who Are You?,,,,,https://your.beer/beer/big-village-brewery-who-are-you
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",35 IBU,"                                                                            Idaho 7,                                                                             Galaxy,                                                                             Simcoe                                                                        ",18.10.2019,"4,097",Голограмма,,,,,https://your.beer/beer/big-village-brewery-gologramma
Big Village Brewery,IPA - New England / Hazy,,"6,8%",40 IBU,                                                                            Galaxy                                                                        ,12.12.2019,"3,943",Light Flow,,,,,https://your.beer/beer/big-village-brewery-light-flow
Big Village Brewery,IPA - New England / Hazy,,"6,8%",30 IBU,"                                                                            Galaxy,                                                                             Simcoe                                                                        ",10.09.2019,"3,963",Disco Decadence,,,,,https://your.beer/beer/big-village-brewery-disco-decadence
Big Village Brewery,Stout - Milk / Sweet,,"6,8%",30 IBU,,22.11.2019,"3,997",Абракадабра,,,,"                                                                            Maple Syrup,                                                                             Tonka Beans                                                                        ",https://your.beer/beer/big-village-brewery-abrakadabra
Big Village Brewery,IPA - New England / Hazy,,"3,3%",20 IBU,"                                                                            Galaxy,                                                                             Citra,                                                                             Mosaic                                                                        ",31.07.2019,"3,709",Микрокосмос,,,,,https://your.beer/beer/big-village-brewery-mikrokosmos
Big Village Brewery,Hard Kombucha / Jun,,"4,0%",,,05.10.2019,"3,947",BeerBerryBucha#3,,,,,https://your.beer/beer/big-village-brewery-beerberrybucha-3
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",40 IBU,"                                                                            Mosaic,                                                                             Simcoe,                                                                             Ekuanot                                                                        ",22.11.2019,"3,946",Аннигиляция,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/big-village-brewery-annigilyaciya
Big Village Brewery,IPA - Imperial / Double New England / Hazy,,"6,8%",35 IBU,"                                                                            Simcoe,                                                                             Galaxy,                                                                             Mosaic                                                                        ",30.08.2019,"4,087",Антигравитация,,,,,https://your.beer/beer/big-village-brewery-antigravitaciya
Big Village Brewery,Sour - Fruited,,"6,7%",,,09.08.2019,"4,01",Out of View (2019),,,,                                                                            Apricot                                                                        ,https://your.beer/beer/big-village-brewery-out-of-view-2019
Big Village Brewery,Pale Ale - American,,"5,5%",30 IBU,"                                                                            Mosaic,                                                                             Galaxy                                                                        ",28.06.2019,"3,701",Take a Breath,,,,,https://your.beer/beer/big-village-brewery-take-a-breath
Big Village Brewery,Stout - Imperial / Double Milk,,"6,8%",30 IBU,,18.10.2019,"4,128",Безмолвие,,,,,https://your.beer/beer/big-village-brewery-bezmolvie
Big Village Brewery,Sour - Fruited Gose,,"6,8%",,,25.09.2019,"4,041",Flavescent,,,,                                                                            Sea buckthorn                                                                        ,https://your.beer/beer/big-village-brewery-flavescent
Big Village Brewery,IPA - Sour,,"6,8%",25 IBU,"                                                                            Galaxy,                                                                             Nelson Sauvin                                                                        ",06.09.2019,"3,889",Dazzle Puzzle (Peach Ed.),,,,,https://your.beer/beer/big-village-brewery-dazzle-puzzle-peach-ed
Big Village Brewery,Stout - Milk / Sweet,,"6,8%",20 IBU,,28.06.2019,"3,834",Chocomeleon,,,,,https://your.beer/beer/big-village-brewery-chocomeleon
Big Village Brewery,IPA - Triple New England / Hazy,,"6,8%",40 IBU,"                                                                            Mosaic,                                                                             Citra,                                                                             Galaxy                                                                        ",15.08.2019,"4,169",Макрокосмос,,,,,https://your.beer/beer/big-village-brewery-makrokosmos
Big Village Brewery,Wild Ale - American,,"6,8%",,,18.10.2019,"4,024",Lost Memories,,,,,https://your.beer/beer/big-village-brewery-lost-memories
Big Village Brewery,IPA - New England / Hazy,,"6,8%",35 IBU,"                                                                            Galaxy,                                                                             Idaho 7,                                                                             Citra                                                                        ",31.10.2019,"3,977",Mediasphere,,,,,https://your.beer/beer/big-village-brewery-mediasphere
Big Village Brewery,Sour - Fruited,,"6,8%",7 IBU,,30.01.2019,"4,161",Chronicles of Silence,,,,                                                                            Raspberry                                                                        ,https://your.beer/beer/big-village-brewery-chronicles-of-silence
Big Village Brewery,Farmhouse Ale - Saison,,"6,8%",28 IBU,,06.03.2019,"3,887",Рефракция,,,,,https://your.beer/beer/big-village-brewery-refrakciya
Big Village Brewery,Stout - Imperial / Double Milk,,"6,8%",35 IBU,,11.01.2019,"4,024",Эффект домино,,,,,https://your.beer/beer/big-village-brewery-effekt-domino
Big Village Brewery,Pilsner - German,,"5,5%",30 IBU,,07.09.2018,"3,608",ABC-Pils,,,,,https://your.beer/beer/big-village-brewery-abc-pils
Big Village Brewery,Pale Ale - New England / Hazy,,"6,0%",30 IBU,"                                                                            Citra,                                                                             Mosaic                                                                        ",16.05.2019,"3,927",Аутентификация,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/big-village-brewery-autentifikaciya
Big Village Brewery,Sour - Fruited,,"6,8%",,,11.04.2019,"4,088",Blacking-Out,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/big-village-brewery-blacking-out
Big Village Brewery,Wild Ale - American,,"6,7%",,,27.06.2019,"4,156",Lost Dreams (BA Red Wine),,,,                                                                            Raspberry                                                                        ,https://your.beer/beer/big-village-brewery-lost-dreams-ba-red-wine
Big Village Brewery,Farmhouse Ale - Saison,,"6,8%",27 IBU,,17.11.2018,"3,899",Предвкушение,,,,,https://your.beer/beer/big-village-brewery-predvkushenie
"Seven Hills, Big Village Brewery",Sour - Other,,"6,0%",,,08.06.2019,"4,008",Zapretny Plod,,,,,https://your.beer/beer/seven-hills-zapretny-plod
Big Village Brewery,Pale Ale - New England / Hazy,"13,5%","5,5%",35 IBU,"                                                                            Simcoe,                                                                             Mosaic,                                                                             Amarillo                                                                        ",29.08.2018,"3,774",Don't Stop Your Run,,,,,https://your.beer/beer/big-village-brewery-dont-stop-your-run
Big Village Brewery,Sour - Other,,"6,8%",,,30.05.2019,"4,021",BFS#6,,,,                                                                            Rhubarb                                                                        ,https://your.beer/beer/big-village-brewery-bfs-6
Big Village Brewery,Sour - Fruited,,"6,0%",,,07.07.2018,"3,918",Sound of Silence,,,,,https://your.beer/beer/big-village-brewery-sound-of-silence
Big Village Brewery,Sour - Fruited,,"5,5%",,,17.06.2019,"3,97",Redberry Time,,,,,https://your.beer/beer/big-village-brewery-redberry-time
Big Village Brewery,IPA - Sour,,"6,8%",15 IBU,"                                                                            Citra,                                                                             Mosaic                                                                        ",29.05.2019,"4,021",Cross-Cutting,,                                        постоянный выпуск                                     ,,"                                                                            Black Currant,                                                                             Lactose                                                                        ",https://your.beer/beer/big-village-brewery-cross-cutting
